,id,rank,symbol,name,supply,maxSupply,marketCapUsd,volumeUsd24Hr,priceUsd,changePercent24Hr,vwap24Hr,explorer
65,synthetix-network-token,66,SNX,Synthetix,233716733.49,212424133.0,490764557.5234429,10919059.903915538,2.099826359007543,-2.7900770844663363,2.0971017077882106,https://etherscan.io/token/0xc011a72400e58ecd99ee497cf89e3775d4bd732f
66,ftx-token,67,FTT,FTX Token,328895103.813207,352170015.0,473580750.0317916,7719097.154258973,1.4399142600212058,-8.475305445780524,1.4863562878357426,https://etherscan.io/token/0x50d1c9771902476076ecfc8b2a83ad6b9355a4c9
67,frax-share,68,FXS,Frax Share,72754565.1588627,,458292583.2767616,1522721.155658508,6.29915912872354,-5.4603399763404505,6.6633571141969075,https://etherscan.io/token/0x3432b6a60d23ca0dfca7761b7ab56459d9c964d0
68,compound,69,COMP,Compound,7750650.85868624,10000000.0,453664423.22872365,46514360.240176916,58.53242927596163,-5.760311457623097,58.49822998745709,https://etherscan.io/token/0xc00e94cb662c3520282e6f5717214004a7f26888
69,dash,70,DASH,Dash,11355894.90172072,18900000.0,450859868.65922564,26401099.618336167,39.702715863538714,-3.0302404891191785,38.90323038885982,https://explorer.dash.org
70,huobi-token,71,HT,Huobi Token,162233844.0,500000000.0,438953528.83253986,10091654.08794087,2.7056840792882886,-0.6365771778213254,2.7118816993231647,https://etherscan.io/token/0x6f259637dcd74c767781e37bc6133cd6a68aa161
71,mina,72,MINA,Mina,929369491.8400393,,423500491.60152644,6343529.243773426,0.4556858120692628,-7.8278706476669475,0.4648326781936501,https://minaexplorer.com/
72,casper,73,CSPR,Casper,11153798843.0,,419765763.71238786,1418861.0555066962,0.0376343315511583,-2.8756151278824875,0.0375778551696629,https://casperstats.io/
73,gatetoken,74,GT,GateToken,97701517.3929322,,415225932.7915686,576509.1766191464,4.249943541016143,-1.9269429222145513,4.270243501073256,
74,xinfin-network,75,XDC,XinFin Network,12293293518.55,,407942299.122877,1093374.8175691639,0.0331841339757577,-1.4591776023569238,0.0317320864057142,https://etherscan.io/token/0x41ab1b6fcbb2fa9dced81acbdec13ea6315f2bf2
75,fei-protocol,76,FEI,Fei Protocol,424996177.78890556,,393431621.2861165,1425638.0308826615,0.925729787343012,4.531135632377538,0.9846105857188031,https://etherscan.io/token/0x956F47F50A910163D8BF957Cf5846D573E7f87CA
